text,label
Tôi từ chối,tu_choi
Không đồng ý,tu_choi
Tôi không muốn,tu_choi
Không cần,tu_choi
Thôi,tu_choi
Không được,tu_choi
Hủy bỏ,tu_choi
Tôi không chấp nhận,tu_choi
Không ạ,tu_choi
Từ chối,tu_choi
No,tu_choi
Không muốn nữa,tu_choi
Không đồng ý với điều đó,tu_choi
Giờ làm việc của các bạn,hoi_gio_lam_viec
Mấy giờ mở cửa?,hoi_gio_lam_viec
Làm việc từ mấy giờ đến mấy giờ?,hoi_gio_lam_viec
Thời gian làm việc,hoi_gio_lam_viec
Giờ làm việc thế nào?,hoi_gio_lam_viec
Các bạn mở cửa lúc mấy giờ?,hoi_gio_lam_viec
Lịch làm việc,hoi_gio_lam_viec
Thứ 7 có làm việc không?,hoi_gio_lam_viec
Chủ nhật có mở cửa không?,hoi_gio_lam_viec
Giờ đóng cửa là lúc nào?,hoi_gio_lam_viec
Làm việc mấy giờ một ngày?,hoi_gio_lam_viec
Các bạn làm việc vào thứ mấy?,hoi_gio_lam_viec
Buổi chiều có làm việc không?,hoi_gio_lam_viec
Giờ nghỉ trưa là lúc nào?,hoi_gio_lam_viec
Lịch làm việc trong tuần,hoi_gio_lam_viec
Địa chỉ của các bạn,hoi_dia_chi
Các bạn ở đâu?,hoi_dia_chi
Địa chỉ công ty,hoi_dia_chi
Cho tôi địa chỉ,hoi_dia_chi
Địa chỉ cụ thể là gì?,hoi_dia_chi
Tọa độ,hoi_dia_chi
Văn phòng ở đâu?,hoi_dia_chi
Chi nhánh gần nhất,hoi_dia_chi
Địa điểm của các bạn,hoi_dia_chi
Cách tìm đến địa chỉ,hoi_dia_chi
Đường đi như thế nào?,hoi_dia_chi
Vị trí trên bản đồ,hoi_dia_chi
Tôi muốn biết địa chỉ,hoi_dia_chi
Cho tôi xin địa chỉ,hoi_dia_chi
Cơ sở nào gần tôi nhất?,hoi_dia_chi
Tôi không hài lòng,khieu_nai
Tôi muốn khiếu nại,khieu_nai
Dịch vụ tệ quá,khieu_nai
Tôi bị lừa,khieu_nai
Không chuyên nghiệp,khieu_nai
Tôi muốn phàn nàn,khieu_nai
Quá tệ,khieu_nai
Không như quảng cáo,khieu_nai
Tôi thất vọng,khieu_nai
Chất lượng kém,khieu_nai
Sản phẩm có vấn đề,khieu_nai
Dịch vụ không tốt,khieu_nai
Tôi muốn hoàn tiền,khieu_nai
Không đúng cam kết,khieu_nai
Tôi muốn gửi khiếu nại,khieu_nai
Tôi cần hỗ trợ,yeu_cau_ho_tro
Giúp tôi với,yeu_cau_ho_tro
Tôi cần trợ giúp,yeu_cau_ho_tro
Hỗ trợ khẩn cấp,yeu_cau_ho_tro
Tôi gặp vấn đề,yeu_cau_ho_tro
Cần người hỗ trợ,yeu_cau_ho_tro
Làm sao để giải quyết?,yeu_cau_ho_tro
Tôi cần sự giúp đỡ,yeu_cau_ho_tro
Hỗ trợ kỹ thuật,yeu_cau_ho_tro
Tôi không biết làm thế nào,yeu_cau_ho_tro
Cần hướng dẫn,yeu_cau_ho_tro
Giúp tôi xử lý vấn đề này,yeu_cau_ho_tro
Tôi cần tư vấn hỗ trợ,yeu_cau_ho_tro
Làm ơn giúp tôi,yeu_cau_ho_tro
Có ai hỗ trợ không?,yeu_cau_ho_tro
Tôi cần hỗ trợ,yeu_cau_ho_tro
Giúp tôi với,yeu_cau_ho_tro
Hỗ trợ tôi được không,yeu_cau_ho_tro
Tôi cần giúp đỡ,yeu_cau_ho_tro
Có ai giúp tôi không,yeu_cau_ho_tro
Tôi cần sự hỗ trợ,yeu_cau_ho_tro
Làm ơn hỗ trợ tôi,yeu_cau_ho_tro
Tôi đang gặp vấn đề cần hỗ trợ,yeu_cau_ho_tro
Có thể hỗ trợ tôi được không,yeu_cau_ho_tro
Tôi cần trợ giúp về vấn đề này,yeu_cau_ho_tro
Làm sao để được hỗ trợ,yeu_cau_ho_tro
Tôi cần ai đó giúp,yeu_cau_ho_tro
Hỗ trợ khẩn cấp,yeu_cau_ho_tro
Cho tôi hỏi có ai hỗ trợ không,yeu_cau_ho_tro
Tôi đang cần giúp đỡ gấp,yeu_cau_ho_tro
Support tôi với,yeu_cau_ho_tro
Help me,yeu_cau_ho_tro
Tôi cần support,yeu_cau_ho_tro
Có thể giúp tôi giải quyết được không,yeu_cau_ho_tro
Tôi cần được hỗ trợ kỹ thuật,yeu_cau_ho_tro
Tôi đang gặp khó khăn cần giúp,yeu_cau_ho_tro
Làm ơn giúp tôi với vấn đề này,yeu_cau_ho_tro
"Tôi không biết phải làm sao, giúp tôi",yeu_cau_ho_tro
Có nhân viên nào hỗ trợ được không,yeu_cau_ho_tro
Tôi cần tư vấn hỗ trợ,yeu_cau_ho_tro
Không đồng ý với bạn,tu_choi
Tôi không chấp nhận điều này,tu_choi
Không muốn làm thế,tu_choi
Tôi từ chối đề nghị này,tu_choi
Không được đâu,tu_choi
Tôi không đồng ý làm vậy,tu_choi
Không thể chấp nhận,tu_choi
Tôi không muốn tiếp tục,tu_choi
"Không ạ, cảm ơn",tu_choi
Tôi không quan tâm,tu_choi
Không cần nữa đâu,tu_choi
Tôi không có nhu cầu,tu_choi
Thôi không cần,tu_choi
Tôi không đồng ý với lịch này,tu_choi
Không phù hợp với tôi,tu_choi
Tôi từ chối lịch hẹn,tu_choi
Không muốn đặt lịch,tu_choi
Tôi không muốn dịch vụ này,tu_choi
Không cần đặt,tu_choi
Tôi không thích,tu_choi
Hủy đi,tu_choi
Không đồng ý đâu,tu_choi
Tôi không cần tư vấn,tu_choi
Không muốn nghe thêm,tu_choi
Tôi không mua,tu_choi
Tôi muốn khiếu nại về dịch vụ,khieu_nai
Dịch vụ của bạn không tốt,khieu_nai
Tôi rất không hài lòng,khieu_nai
Phàn nàn về chất lượng,khieu_nai
Quá tệ,khieu_nai
Tôi muốn gửi khiếu nại,khieu_nai
Dịch vụ không như quảng cáo,khieu_nai
Tôi bị đối xử tệ,khieu_nai
Không chuyên nghiệp chút nào,khieu_nai
Tôi muốn phàn nàn về thái độ,khieu_nai
Chất lượng quá kém,khieu_nai
Tôi rất thất vọng,khieu_nai
Dịch vụ rất tồi,khieu_nai
Tôi muốn đền bù,khieu_nai
Không thể chấp nhận được,khieu_nai
Tôi muốn nói chuyện với quản lý,khieu_nai
Làm việc quá tệ,khieu_nai
Tôi cảm thấy bị lừa dối,khieu_nai
Không đáng tin cậy,khieu_nai
Tôi muốn hoàn tiền,khieu_nai
Dịch vụ khách hàng tệ,khieu_nai
Tôi bị phí quá cao,khieu_nai
Không giải quyết vấn đề của tôi,khieu_nai
Tôi sẽ khiếu nại lên cơ quan,khieu_nai
Thái độ phục vụ kém,khieu_nai
